,eval_subj,num_regions,train_dataset,train_ses,train_type,cerebellum,cortex,method,logalpha,R_train,rmse_train,R_cv,rmse_cv,eval_dataset,eval_ses,parcellation,crossed,splitby,type,cv_fold,R_eval,R2_eval,noise_Y_R,noise_Y_R2,noise_X_R,noise_X_R2,noiseceiling_Y,noiseceiling_XY,R_eval_adj,model
1099,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,2.0,0.999889105967091,136.039543386045,0.996802519843306,818.171799923107,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0628136378186569,-0.186199943294064,0.292503349130297,-0.414993301739406,0.253409454532341,-0.493181090935319,0.5408357875827903,0.27225560444551267,0.23071568332481465,
1100,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,4.0,0.999883586419561,139.846610112042,0.996796733286971,813.839470106837,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0123487463419725,-0.272189008872581,0.292503349130297,-0.414993301739406,0.269257222934985,-0.46148555413003,0.5408357875827903,0.2806396969176067,0.044002136823850624,
1101,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,6.0,0.999865253143083,151.614401867949,0.996904040011809,801.442302774611,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0041514204999215,-0.31802147051088,0.292503349130297,-0.414993301739406,0.283868972626272,-0.432262054747457,0.5408357875827903,0.28815382212866997,-0.014406959689980296,
1102,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,8.0,0.999673301953509,233.295668199339,0.997227591709958,777.041239003273,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0030229283916139,-0.290322100968727,0.292503349130297,-0.414993301739406,0.274749796321434,-0.450500407357132,0.5408357875827903,0.2834876286487409,-0.010663352069446035,
1103,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,10.0,0.998851066481876,430.711820419721,0.996943606448979,847.590390867437,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0058943167682137,-0.221980701088093,0.292503349130297,-0.414993301739406,0.246670977729978,-0.506658044540043,0.5408357875827903,0.2686114054154505,0.021943657824570768,
1104,sub-10,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,12.0,0.997695583725854,627.936771650688,0.996310375710994,954.381141710916,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0129247031001284,-0.178957212875286,0.292503349130297,-0.414993301739406,0.226488167985582,-0.547023664028836,0.5408357875827903,0.25738793226211687,0.05021487599102445,
1105,sub-12,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,0.0,0.999900623799896,128.546117051581,0.996774358303751,827.540767817039,MDTB,all,Icosahedron1002,half,,CondHalf,,0.059735300431693,-0.170516132937576,0.213330497434465,-0.573339005131071,0.351720834950406,-0.296558330099188,0.46187714539091995,0.2739211212704042,0.21807482444088222,
1106,sub-12,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,2.0,0.999889105967091,136.039543386045,0.996802519843306,818.171799923107,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0326511023709103,-0.182897903928008,0.213330497434465,-0.573339005131071,0.346413811359014,-0.307172377281971,0.46187714539091995,0.2718467044041317,0.12010850910434669,
1107,sub-12,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,4.0,0.999883586419561,139.846610112042,0.996796733286971,813.839470106837,MDTB,all,Icosahedron1002,half,,CondHalf,,0.0041457700393325,-0.242791417045218,0.213330497434465,-0.573339005131071,0.346827822055964,-0.306344355888073,0.46187714539091995,0.2720091024273102,0.01524129156832311,
1108,sub-12,1876,HCP,all,Tseries,SUIT3,fs32k,L2regression,6.0,0.999865253143083,151.614401867949,0.996904040011809,801.442302774611,MDTB,all,Icosahedron1002,half,,CondHalf,,-0.0047403903790512,-0.275050452149385,0.213330497434465,-0.573339005131071,0.348565406323049,-0.302869187353901,0.46187714539091995,0.27268962488393733,-0.01738383109026907,
