train_dataset	eval_dataset	eval_subj	R_eval_adj_L2reg	R_eval_adj_NNLS	R_eval_adj_diff
MDTB	Nishimoto	sub-03	0.5563653271551258	0.5410736429701145	0.015291684185011256
MDTB	Nishimoto	sub-04	0.40992935920497453	0.3915669470397353	0.018362412165239206
MDTB	Nishimoto	sub-05	0.44463961972002236	0.5634981933046724	-0.11885857358465007
MDTB	Nishimoto	sub-06	0.58592305582586	0.566937898786211	0.01898515703964898
MDTB	IBC	sub-01	0.5839556776806399	0.5305370323336823	0.053418645346957616
MDTB	IBC	sub-04	0.902996556345742	0.9953090544272409	-0.09231249808149888
MDTB	IBC	sub-05	0.5556325081839288	0.6552113046330831	-0.09957879644915424
MDTB	IBC	sub-06	0.6714334788557479	0.7224953666436843	-0.05106188778793641
MDTB	IBC	sub-07	0.4753221175307436	0.3740043289066546	0.10131778862408902
MDTB	IBC	sub-08	0.2488431078467091	0.27219505394836285	-0.023351946101653753
MDTB	IBC	sub-09	0.705017407716808	0.7478191979912824	-0.042801790274474394
MDTB	IBC	sub-11	0.9446342476480025	1.0632863997734483	-0.11865215212544578
MDTB	IBC	sub-12	0.7122588781621977	0.7658145508147214	-0.0535556726525237
MDTB	IBC	sub-13	0.5364727458932581	0.5229046707912085	0.013568075102049604
MDTB	IBC	sub-14	0.5787586752389814	0.536149915780682	0.04260875945829934
MDTB	IBC	sub-15	0.46424140393775337	0.37345164060477387	0.0907897633329795
MDTB	HCPur100	sub-101309	0.41412542999621277	0.10352266506308438	0.3106027649331284
MDTB	HCPur100	sub-103111	0.6382412659981581	0.588405844420922	0.04983542157723608
MDTB	HCPur100	sub-103414	0.8312896418848188	0.9422480000339258	-0.11095835814910704
MDTB	HCPur100	sub-103818	0.6824159586771095	0.6185974797489773	0.0638184789281322
MDTB	HCPur100	sub-105014	0.42852022061711736	0.3989102887405084	0.029609931876608986
MDTB	HCPur100	sub-105115	0.5524192158943466	0.5104804431003791	0.041938772793967516
MDTB	HCPur100	sub-110411	0.22659920712165488	0.30806644799940874	-0.08146724087775387
MDTB	HCPur100	sub-117122	0.8921690903830043	0.7308592423370521	0.16130984804595216
MDTB	HCPur100	sub-118730	0.4805176591957532	0.58053223924372	-0.10001458004796682
MDTB	HCPur100	sub-123117	0.6081764822699239	0.6815620302953724	-0.0733855480254485
MDTB	HCPur100	sub-124422	0.598186024582334	0.6923860972716599	-0.09420007268932584
MDTB	HCPur100	sub-127630	0.6453695990521189	0.5392424711016691	0.10612712795044976
MDTB	HCPur100	sub-128632	0.6021995450522071	0.7157179376320946	-0.1135183925798875
MDTB	HCPur100	sub-130013	0.748551014793726	0.8041849663804777	-0.05563395158675166
MDTB	HCPur100	sub-130316	0.5074857635513743	0.4824511737956249	0.025034589755749403
MDTB	HCPur100	sub-131217	0.5984058954101878	0.7682321773657355	-0.1698262819555476
MDTB	HCPur100	sub-153025	0.8726019880401125	1.050023707232553	-0.17742171919244043
MDTB	HCPur100	sub-154734	0.7794954545314634	0.6647019325510914	0.11479352198037196
MDTB	HCPur100	sub-156637	0.37452649720047926	0.23093371743851715	0.1435927797619621
MDTB	HCPur100	sub-159340	0.7517580700664241	0.8530875203097382	-0.10132945024331408
MDTB	HCPur100	sub-160123	0.5732875633638219	0.5930563575134907	-0.01976879414966881
MDTB	HCPur100	sub-161731	0.8785958375463473	0.9896964029385182	-0.11110056539217095
MDTB	HCPur100	sub-162733	0.5570888714523691	0.7062039363065088	-0.14911506485413972
MDTB	HCPur100	sub-163129	0.9295005872909269	1.0588806624304525	-0.12938007513952565
MDTB	HCPur100	sub-178950	0.5561314448945692	0.5863282072960562	-0.030196762401486943
MDTB	HCPur100	sub-188347	0.8964639224299831	1.0628257971524888	-0.16636187472250574
MDTB	HCPur100	sub-189450	0.508449046534482	0.5108967385883938	-0.0024476920539118208
MDTB	HCPur100	sub-190031	0.7126926608650458	0.619077174240129	0.09361548662491681
MDTB	HCPur100	sub-196750	0.6359766378075785	0.7832027684971137	-0.14722613068953516
